comparison,update,level,subject,seed,difference,mean,median,sd
full_vs_sw_ess050,raw_rooted,subject_mean,3.0,,0.13922390926041076,,,
full_vs_sw_ess050,raw_rooted,subject_mean,8.0,,0.12003195539391831,,,
full_vs_sw_ess050,raw_rooted,grand,,,,0.1398794026302661,0.13983549227641545,0.01883311792628299
full_vs_stop_ess075,raw_rooted,run,1.0,1788.0,0.06690601048153477,,,
full_vs_stop_ess075,raw_rooted,run,1.0,3654.0,0.07510564130124098,,,
full_vs_stop_ess075,raw_rooted,run,1.0,6398.0,0.07054893833845399,,,
full_vs_stop_ess075,raw_rooted,run,3.0,1788.0,0.06052416715050457,,,
full_vs_stop_ess075,raw_rooted,run,3.0,3654.0,0.0553041712336062,,,
full_vs_stop_ess075,raw_rooted,run,3.0,6398.0,0.06124673620191967,,,
full_vs_stop_ess075,raw_rooted,run,8.0,1788.0,0.05589435377300278,,,
