q,L,repeat,method,estimate,own_metric_reference,error
16,20,15,evar,0.43956449183844704,0.5168421624452488,-0.0772776706068018
16,20,15,cvar,0.47872390428118633,0.5242524329003955,-0.04552852861920914
16,20,15,sampled_max,0.5830633408342981,1.1472011535764581,-0.56413781274216
16,40,0,sw,0.3026186792825948,0.3315254891038292,-0.02890680982123439
16,40,0,ebsw_exp,0.32072333773803413,0.3764519859695811,-0.055728648231546996
16,40,0,power_ebsw,0.38207076995360595,0.46045034772148125,-0.0783795777678753
16,40,0,entropic,0.31143380774438295,0.3521125831997691,-0.040678775455386174
16,40,0,evar,0.4238095156775107,0.5168421624452488,-0.09303264676773815
16,40,0,cvar,0.4518489504477651,0.5242524329003955,-0.0724034824526304
16,40,0,sampled_max,0.5940056715264967,1.1472011535764581,-0.5531954820499614
16,40,1,sw,0.30021248649860754,0.3315254891038292,-0.03131300260522163
16,40,1,ebsw_exp,0.31465926725815135,0.3764519859695811,-0.06179271871142977
16,40,1,power_ebsw,0.36853883740635934,0.46045034772148125,-0.0919115103151219
16,40,1,entropic,0.30734464062278977,0.3521125831997691,-0.04476794257697936
16,40,1,evar,0.40436750901754664,0.5168421624452488,-0.11247465342770219
16,40,1,cvar,0.44888659514950385,0.5242524329003955,-0.07536583775089162
16,40,1,sampled_max,0.5166126964376794,1.1472011535764581,-0.6305884571387788
16,40,2,sw,0.3253979104136614,0.3315254891038292,-0.006127578690167779
16,40,2,ebsw_exp,0.3478604942438433,0.3764519859695811,-0.028591491725737828
16,40,2,power_ebsw,0.4102808454553611,0.46045034772148125,-0.05016950226612016
16,40,2,entropic,0.3363289393270892,0.3521125831997691,-0.015783643872679942
16,40,2,evar,0.45292963396790764,0.5168421624452488,-0.06391252847734119
16,40,2,cvar,0.4811198492686729,0.5242524329003955,-0.043132583631722565
16,40,2,sampled_max,0.6020661464322641,1.1472011535764581,-0.545135007144194
16,40,3,sw,0.34997586351443777,0.3315254891038292,0.018450374410608594
16,40,3,ebsw_exp,0.40967676436242145,0.3764519859695811,0.033224778392840326
16,40,3,power_ebsw,0.5025703799684431,0.46045034772148125,0.04212003224696187
16,40,3,entropic,0.37770972539715614,0.3521125831997691,0.025597142197387013
16,40,3,evar,0.5430766946147438,0.5168421624452488,0.026234532169495006
16,40,3,cvar,0.5633672548005247,0.5242524329003955,0.03911482190012927
16,40,3,sampled_max,0.8161305057576884,1.1472011535764581,-0.3310706478187697
16,40,4,sw,0.36226688721435196,0.3315254891038292,0.03074139811052279
16,40,4,ebsw_exp,0.42378153963456117,0.3764519859695811,0.04732955366498004
16,40,4,power_ebsw,0.5196022840707182,0.46045034772148125,0.05915193634923693
16,40,4,entropic,0.3914558217188877,0.3521125831997691,0.039343238519118584
16,40,4,evar,0.5524213110134163,0.5168421624452488,0.03557914856816746
16,40,4,cvar,0.596301970282467,0.5242524329003955,0.07204953738207154
16,40,4,sampled_max,0.8209674391760796,1.1472011535764581,-0.3262337144003785
16,40,5,sw,0.31816656216971556,0.3315254891038292,-0.013358926934113613
16,40,5,ebsw_exp,0.35328578984408326,0.3764519859695811,-0.023166196125497862
16,40,5,power_ebsw,0.4416074831806244,0.46045034772148125,-0.01884286454085682
16,40,5,entropic,0.33497426849152223,0.3521125831997691,-0.017138314708246893
16,40,5,evar,0.47670452253913037,0.5168421624452488,-0.04013763990611846
16,40,5,cvar,0.5088484021808997,0.5242524329003955,-0.01540403071949581
16,40,5,sampled_max,0.6819986263243066,1.1472011535764581,-0.4652025272521515
16,40,6,sw,0.33848180015956053,0.3315254891038292,0.006956311055731357
16,40,6,ebsw_exp,0.38771505795000827,0.3764519859695811,0.011263071980427142
16,40,6,power_ebsw,0.4717621777883254,0.46045034772148125,0.011311830066844164
16,40,6,entropic,0.361055365370682,0.3521125831997691,0.008942782170912877
16,40,6,evar,0.5238783668609504,0.5168421624452488,0.007036204415701519
16,40,6,cvar,0.5277288055522837,0.5242524329003955,0.003476372651888271
16,40,6,sampled_max,0.8089583584537623,1.1472011535764581,-0.33824279512269584
16,40,7,sw,0.36887660916571957,0.3315254891038292,0.0373511200618904
16,40,7,ebsw_exp,0.4215140713696687,0.3764519859695811,0.04506208540008755
16,40,7,power_ebsw,0.5082272007304736,0.46045034772148125,0.047776853008992315
16,40,7,entropic,0.3942081894774129,0.3521125831997691,0.04209560627764375
16,40,7,evar,0.5435729357614818,0.5168421624452488,0.02673077331623297
16,40,7,cvar,0.5950073319881586,0.5242524329003955,0.07075489908776311
16,40,7,sampled_max,0.7763535089764134,1.1472011535764581,-0.3708476446000447
16,40,8,sw,0.3582135131935996,0.3315254891038292,0.026688024089770446
16,40,8,ebsw_exp,0.3794874632442434,0.3764519859695811,0.003035477274662246
16,40,8,power_ebsw,0.4302709720771659,0.46045034772148125,-0.03017937564431533
16,40,8,entropic,0.36875561142576685,0.3521125831997691,0.016643028225997725
16,40,8,evar,0.4714421558034343,0.5168421624452488,-0.04540000664181454
16,40,8,cvar,0.5169099664700779,0.5242524329003955,-0.007342466430317551
16,40,8,sampled_max,0.5799658113767248,1.1472011535764581,-0.5672353421997334
16,40,9,sw,0.3293304581700692,0.3315254891038292,-0.0021950309337600005
16,40,9,ebsw_exp,0.36670475560889093,0.3764519859695811,-0.009747230360690196
16,40,9,power_ebsw,0.45441420063053717,0.46045034772148125,-0.006036147090944077
